Sphere_evaluation_file Voltage	Sphere_evaluation_file Current	Sphere_evaluation_file Current density	Sphere_evaluation_file PD current	Sphere_evaluation_file Radiant flux	Sphere_evaluation_file Luminous flux	Sphere_evaluation_file Irradiance	Sphere_evaluation_file Luminance	Sphere_evaluation_file EQE	Sphere_evaluation_file P_eff
V	A	mA/cm^2	A	W	lm	W/m^2	cd/m^2	%	lm/W

2.749473	3.284711e-10	5.1727732283464565e-06	7.545963853700002e-12	2.902749463748999e-09	1.2921470439572205e-06	0.000457125899802992	0.06477215409366054	405.38651501223836	1430.7551382816296
2.759397	4.050055e-10	6.37803937007874e-06	5.755396159699999e-12	2.2139614554395936e-09	9.855358810011538e-07	0.0003486553473133219	0.04940249041126286	250.76449382840502	881.8553047553692
2.769311	7.586853e-10	1.1947800000000003e-05	7.815970093000002e-13	3.0066143220404496e-10	1.3383820605469743e-07	4.7348257040007085e-05	0.006708980178947003	18.179124413281052	63.70106696040345
2.779549	4.943022e-10	7.784286614173228e-06	1.2647660697e-12	4.865248630616566e-10	2.1657455163384074e-07	7.661808867112703e-05	0.010856349745019424	45.15121121428042	157.63060632373075
2.789452	4.510272e-10	7.1027905511811025e-06	1.0516032487000004e-12	4.045262905339632e-10	1.8007322266157478e-07	6.370492764314382e-05	0.009026627875614845	41.143471041281444	143.12895839624628
2.799364	4.147954e-09	6.532211023622048e-05	5.3717030823e-12	2.0663640250436155e-09	9.198334889195698e-07	0.00032541165748718357	0.04610899104976809	22.85229438979862	79.2165478273744
2.809262	3.908057e-10	6.1544204724409455e-06	7.830180947700001e-12	3.0120808935294732e-09	1.3408154824727507e-06	0.0004743434477999171	0.0672117832471442	353.5596141286491	1221.2817914431607
 2.81951	1.136707e-09	1.7900897637795276e-05	2.5153212847000007e-12	9.675831546342898e-10	4.307156813419051e-07	0.00015237529994240786	0.021590718032364672	39.04780930597329	134.39048151340296
2.829425	6.697268e-10	1.0546878740157481e-05	2.38173925023e-11	9.161973825259106e-09	4.078415151899471e-06	0.0014428305236628516	0.2044409232773808	627.5499191167006	2152.264126089102
2.839324	-3.496679e-09	-5.5065811023622055e-05	4.888534022e-12	1.8805005942244716e-09	8.370971433575501e-07	0.00029614182586212156	0.04196162148455403	24.670310700081803	84.31505762243377
2.849574	9.185581e-10	1.4465481889763781e-05	3.0695446184999995e-12	1.180779442898552e-09	5.256191365328071e-07	0.00018594951856670114	0.026347994885949633	58.96836165580207	200.80965855453255
2.859477	7.682365e-10	1.20982125984252e-05	5.400124792000003e-13	2.0772971681370673e-10	9.247003328224945e-08	3.2713341230504996e-05	0.004635295396769159	12.403966971972913	42.09392946530824
 2.86939	9.873579e-10	1.5548943307086615e-05	1.0231815395000001e-12	3.935931476328508e-10	1.752063788442691e-07	6.198317285556706e-05	0.008782664961983214	18.286468105998317	61.84231348740268
2.879297	1.028055e-09	1.618984251968504e-05	2.2737367539999895e-13	8.746514390131417e-11	3.893475084667131e-08	1.3774038409655777e-05	0.0019517033245036524	3.9027935154844493	13.153295756858771
2.889531	1.160373e-09	1.82735905511811e-05	1.1084466677999993e-12	4.2639257660546033e-10	1.8980691041605167e-07	6.714843726070242e-05	0.009514553708886672	16.856559178240218	56.60920384407813
